2026-02-21 09:29:51.454695 | Features: [3, 51.97465749989329, 1, 10] | Prediction: 0 | Risk Score: 0.36%
2026-02-21 09:31:06.417384 | Features: [5, 42.40679082996294, 0, 3] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:31:08.443160 | Features: [2, 44.64498213416942, 1, 5] | Prediction: 0 | Risk Score: 0.33%
2026-02-21 09:31:10.481798 | Features: [5, 12.466787478726124, 1, 10] | Prediction: 0 | Risk Score: 0.0%
2026-02-21 09:31:12.508670 | Features: [1, 44.79853355115708, 1, 4] | Prediction: 0 | Risk Score: 0.43%
2026-02-21 09:31:14.533978 | Features: [17, 0.6445346388537845, 0, 43] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:31:16.557217 | Features: [2, 40.72759418072957, 1, 1] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:31:18.584143 | Features: [0, 20.371100977511315, 0, 1] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:31:20.610537 | Features: [3, 29.950695752139637, 1, 8] | Prediction: 0 | Risk Score: 1.03%
2026-02-21 09:31:22.637454 | Features: [10, 0.6092339055544922, 0, 26] | Prediction: 1 | Risk Score: 94.0%
2026-02-21 09:31:24.660861 | Features: [2, 33.387111860312146, 1, 6] | Prediction: 0 | Risk Score: 0.33%
2026-02-21 09:31:26.688986 | Features: [1, 38.134325494108985, 0, 2] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:31:28.719653 | Features: [5, 10.424344427565757, 1, 10] | Prediction: 0 | Risk Score: 0.0%
2026-02-21 09:31:30.745902 | Features: [12, 0.8394151498580573, 0, 45] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:31:32.772062 | Features: [4, 6.089891684581223, 0, 1] | Prediction: 0 | Risk Score: 2.0%
2026-02-21 09:31:34.798157 | Features: [17, 0.17152608464737187, 0, 33] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:31:36.824437 | Features: [16, 0.3017982811395735, 0, 38] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:31:38.851106 | Features: [2, 14.313378765363376, 1, 5] | Prediction: 0 | Risk Score: 0.01%
2026-02-21 09:31:40.876730 | Features: [11, 0.8698324212847253, 0, 47] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:31:42.905396 | Features: [5, 9.160702482281561, 1, 6] | Prediction: 0 | Risk Score: 0.0%
2026-02-21 09:31:44.932628 | Features: [1, 26.521291472205302, 0, 6] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:31:46.959858 | Features: [17, 0.27111948587730206, 0, 42] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:31:48.986825 | Features: [5, 43.30817534339836, 0, 6] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:31:51.012828 | Features: [5, 16.3350135721329, 1, 1] | Prediction: 0 | Risk Score: 2.32%
2026-02-21 09:31:53.035795 | Features: [2, 14.71194797987243, 1, 1] | Prediction: 0 | Risk Score: 1.65%
2026-02-21 09:31:55.065302 | Features: [4, 43.38677113448048, 0, 1] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:31:57.092685 | Features: [18, 0.9758965615470567, 0, 43] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:31:59.120232 | Features: [4, 36.24670880616994, 1, 8] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:32:01.147588 | Features: [1, 11.610800896187504, 1, 2] | Prediction: 0 | Risk Score: 0.67%
2026-02-21 09:32:03.169663 | Features: [12, 0.12065929052138591, 0, 20] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:32:05.196987 | Features: [3, 27.10278914671055, 1, 2] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:32:07.226114 | Features: [18, 0.2845598834681631, 0, 26] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:32:09.251847 | Features: [5, 38.17934704912795, 0, 9] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:32:11.279463 | Features: [4, 24.3727701485114, 0, 2] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:32:13.301674 | Features: [3, 26.35027432218327, 0, 4] | Prediction: 0 | Risk Score: 0.36%
2026-02-21 09:32:15.324706 | Features: [5, 42.71972856403791, 0, 1] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:32:17.353656 | Features: [5, 57.566299172221, 0, 5] | Prediction: 0 | Risk Score: 0.0%
2026-02-21 09:32:19.378166 | Features: [13, 0.6141629532084641, 0, 21] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:32:21.402671 | Features: [1, 44.44153662765303, 1, 10] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:32:23.424799 | Features: [3, 5.167362639580867, 1, 2] | Prediction: 0 | Risk Score: 0.0%
2026-02-21 09:32:25.446978 | Features: [3, 5.528807468518206, 1, 10] | Prediction: 0 | Risk Score: 0.04%
2026-02-21 09:32:27.475002 | Features: [16, 0.2945947363935406, 0, 20] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:32:29.502824 | Features: [20, 0.5677439601217662, 0, 48] | Prediction: 1 | Risk Score: 99.33%
2026-02-21 09:32:31.527409 | Features: [4, 42.32894485442209, 0, 7] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:32:33.582805 | Features: [4, 19.37455062527149, 0, 9] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:32:35.697103 | Features: [16, 0.7140582368367343, 0, 37] | Prediction: 1 | Risk Score: 100.0%
2026-02-21 09:32:37.736846 | Features: [5, 18.528622575329237, 1, 8] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:34:36.699703 | Features: [5, 40.08, 1, 8] | Prediction: 0 | Risk Score: 0.32%
2026-02-21 09:34:38.746554 | Features: [2, 56.64, 1, 8] | Prediction: 0 | Risk Score: 0.68%
2026-02-21 09:34:40.798078 | Features: [2, 21.66, 1, 6] | Prediction: 0 | Risk Score: 0.51%
2026-02-21 09:34:42.838833 | Features: [2, 40.07, 1, 3] | Prediction: 0 | Risk Score: 0.33%
2026-02-21 09:34:44.882463 | Features: [11, 0.68, 0, 50] | Prediction: 1 | Risk Score: 98.67%
2026-02-21 09:34:46.921431 | Features: [16, 0.11, 0, 45] | Prediction: 1 | Risk Score: 100.0%
